fileId	title	artist	producer	gn
12944	俯瞰show	BIGMAMA	tina	sdom2944k.gn
12945	ピースサイン	米津玄師	tina	sdom2945k.gn
12946	雨き声残響	すぃ	tina	sdom2946k.gn
12948	Lemon	春茶	tina	sdom2948k.gn
12949	答案	楊坤,郭采潔	tina	sdom2949k.gn
12950	空も飛べるはず	さよならポニーテール	tina	sdom2950k.gn
12951	オノマトペメガネ	ササノマリイ	tina	sdom2951k.gn
12956	海芋戀	蕭敬騰	Tina	sdom2956k.gn
15086	I Don't Care	2NE1	AQ	sdom1116_1k.gn
15087	Sexy, Free & Single	Super Junior	AQ	sdom1118_1k.gn
15088	Gangnam Style	PSY	AQ	sdom1119_1k.gn
				sdom1096k.gn
				sdom1096t.gn
