gn,fileId,ok,size,mean_db,note,src_sdm
sdom1876,11876,1,1617347,-15.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1876.sdm
sdom1963,11963,1,6826391,-12.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1963.sdm
sdom1966,11966,1,4742447,-11.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1966.sdm
sdom1964,11964,1,6476345,-11.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1964.sdm
sdom1970,11970,1,4052111,-10.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1970.sdm
sdom1969,11969,1,5133713,-12.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1969.sdm
sdom1972,11972,1,7588771,-12.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1972.sdm
sdom1973,11973,1,7646110,-15.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1973.sdm
sdom5001,15001,1,5819111,-11.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5001.sdm
sdom5002,15002,1,8279707,-9.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5002.sdm
sdom5006,15006,1,4393305,-10.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5006.sdm
sdom5005,15005,1,5194427,-11.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5005.sdm
sdom5004,15004,1,5344247,-10.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5004.sdm
sdom5003,15003,1,7743803,-9.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5003.sdm
sdom5007,15007,1,4724235,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5007.sdm
sdom5008,15008,1,3776085,-10.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5008.sdm
sdom5009,15009,1,4545963,-10.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5009.sdm
sdom5010,15010,1,5264001,-12.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5010.sdm
sdom5013,15013,1,2037295,-7.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5013.sdm
sdom5012,15012,1,2763594,-13.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5012.sdm
sdom5014,15014,1,1609501,-11.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5014.sdm
sdom5011,15011,1,5192520,-12.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5011.sdm
sdom5015,15015,1,2113491,-7.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5015.sdm
sdom5016,15016,1,1711726,-11.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5016.sdm
sdom5017,15017,1,1881634,-13.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5017.sdm
sdom5018,15018,1,1958923,-13.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5018.sdm
sdom5019,15019,1,2063302,-12.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5019.sdm
sdom5023,15023,1,1493510,-12.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5023.sdm
sdom5024,15024,1,1274696,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5024.sdm
sdom5021,15021,1,6407585,-11.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5021.sdm
sdom5020,15020,1,7222945,-11.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5020.sdm
sdom5022,15022,1,7772986,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5022.sdm
sdom5025,15025,1,2005190,-10.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5025.sdm
sdom5026,15026,1,2196845,-7.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5026.sdm
sdom5027,15027,1,2195934,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5027.sdm
sdom5028,15028,1,4624676,-9.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5028.sdm
sdom5030,15030,1,3932204,-12.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5030.sdm
sdom5040,15040,1,2896808,-8.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5040.sdm
sdom5035,15035,1,5591428,-7.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5035.sdm
sdom5041,15041,1,4439825,-10.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5041.sdm
sdom5042,15042,1,6320276,-10.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5042.sdm
sdom5044,15044,1,4925730,-11.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5044.sdm
sdom5045,15045,1,5327814,-9.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5045.sdm
sdom5047,15047,1,1696575,-14.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5047.sdm
sdom5033,15033,1,7212564,-9.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5033.sdm
sdom5046,15046,1,7333206,-10.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5046.sdm
sdom5029,15029,1,9989277,-9.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5029.sdm
sdom5048,15048,1,2833362,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5048.sdm
sdom5053,15053,1,1729725,-13.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5053.sdm
sdom5051,15051,1,6426854,-13.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5051.sdm
sdom5060,15060,1,2006353,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5060.sdm
sdom5062,15062,1,1456413,-10.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5062.sdm
sdom5064,15064,1,1609390,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5064.sdm
sdom5065,15065,1,2353975,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5065.sdm
sdom5066,15066,1,1818751,-12.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5066.sdm
sdom5067,15067,1,2470424,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5067.sdm
sdom5068,15068,1,1601347,-12.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5068.sdm
sdom5069,15069,1,2417619,-10.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5069.sdm
sdom5071,15071,1,2623652,-8.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5071.sdm
sdom5070,15070,1,2384222,-11.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5070.sdm
sdom5072,15072,1,2588548,-10.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5072.sdm
sdom5073,15073,1,2080496,-12.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5073.sdm
sdom5074,15074,1,3064423,-9.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5074.sdm
sdom5079,15079,1,2723365,-10.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5079.sdm
sdom5080,15080,1,2518480,-8.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5080.sdm
sdom5083,15083,1,1634015,-11.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5083.sdm
sdom5081,15081,1,2217133,-10.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5081.sdm
sdom5082,15082,1,2600832,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5082.sdm
sdom5084,15084,1,2225368,-9.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5084.sdm
sdom5085,15085,1,1703277,-12.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom5085.sdm
